Date,Close/Last,Volume,Open,High,Low
12/01/2020,118.34,72026780,512.54,134.43,502.31
09/09/2019,316.97,65541230,219.78,558.05,407.48
05/11/2019,368.95,90174954,460.45,249.6,190.72
16/05/2024,382.26,51704882,195.64,436.99,509.83
29/03/2022,395.4,92372222,196.57,134.11,480.9
20/09/2021,211.61,72265926,472.22,241.51,410.79
05/05/2023,579.55,87321074,538.54,592.38,432.18
12/02/2023,433.91,79267752,394.62,429.07,439.38
15/01/2023,582.35,65762334,164.12,350.18,128.26
19/08/2021,501.67,104143248,409.55,496.1,431.35
31/10/2022,195.44,100345980,117.97,575.66,140.56
16/05/2019,349.69,55702683,519.86,493.81,327.08
23/07/2022,598.42,98576618,219.17,461.62,276.12
31/03/2019,142.68,95613940,133.54,231.97,355.79
17/06/2024,192.42,106056143,497.36,351.15,289.56
26/02/2023,257.42,59991256,449.92,432.25,515.26
31/08/2019,194.32,67611379,404.21,597.05,346.38
30/01/2024,294.88,84899677,389.41,182.39,243.84
25/12/2020,478.81,98728610,358.62,119.33,501.03
07/07/2020,224.88,100963058,428.17,506.89,335.23
08/08/2019,568.09,94388745,280.3,161.93,433.79
09/11/2019,455.51,101377637,425.23,334.62,479.39
23/07/2020,455.51,91901118,556.4,524.2,428.94
27/01/2022,568.33,64277648,194.06,179.45,169.27
28/12/2023,403.65,57770743,321.31,351.0,212.23
28/12/2020,423.78,69227571,512.78,504.38,265.47
22/01/2021,370.73,65470732,113.0,580.56,139.93
22/05/2023,531.13,100294428,220.69,239.07,159.35
02/10/2019,349.68,100058665,128.74,475.7,101.24
16/12/2019,274.06,99703272,391.22,381.68,525.07
04/11/2022,179.0,61856612,356.07,455.09,130.42
11/10/2020,572.05,89710620,164.31,466.66,131.17
15/11/2019,573.64,103966850,199.21,326.71,413.25
17/10/2022,217.65,101280144,565.58,350.62,559.34
31/10/2021,542.11,89635027,234.36,364.65,388.35
01/07/2022,281.87,69226123,357.44,431.67,257.21
07/11/2023,100.44,87815864,592.93,333.12,312.68
01/05/2020,333.0,90005929,539.64,225.43,387.86
13/12/2020,394.45,98367276,415.65,486.46,370.32
27/08/2019,354.4,103616777,520.88,133.57,392.47
28/11/2023,291.85,92717806,527.47,148.87,539.35
02/08/2021,589.72,51742288,172.89,362.25,170.33
07/04/2021,582.42,67285767,344.68,251.8,272.91
04/01/2021,421.4,89997218,211.11,159.07,505.81
21/04/2019,131.05,78594770,587.23,396.64,357.12
15/07/2024,460.7,59153228,316.75,593.1,165.66
31/07/2023,255.63,57269229,103.88,363.43,155.39
20/07/2024,327.23,94193779,454.24,204.93,283.96
12/07/2020,270.82,50756112,568.74,209.12,197.49
30/06/2024,377.8,103169867,343.76,294.98,142.84
14/10/2019,395.8,105658197,465.17,285.67,396.71
01/09/2019,375.52,104734938,254.25,276.95,580.13
18/01/2023,438.63,57615976,286.2,253.77,396.59
25/08/2024,324.57,58592763,136.86,491.02,294.14
26/03/2019,102.42,105176656,588.32,559.36,538.06
11/01/2021,311.58,61223273,332.41,183.56,544.75
01/09/2020,306.69,86860608,511.89,502.77,471.83
09/06/2021,152.98,87408962,229.5,317.47,232.3
29/06/2022,454.29,80719881,169.94,352.44,125.59
12/07/2021,576.78,98348409,426.08,400.18,419.66
05/04/2020,587.36,86725345,222.25,565.23,353.55
01/06/2019,278.58,55005209,107.68,504.93,164.33
19/06/2024,376.53,60188666,402.1,116.99,461.22
06/01/2022,507.57,67073184,486.34,409.56,339.12
02/01/2024,453.8,86915266,234.71,531.23,143.2
22/06/2024,368.12,67314151,404.1,324.8,468.05
07/08/2024,293.27,66095751,487.98,585.12,252.43
03/12/2023,353.88,77179380,399.4,204.47,195.43
27/02/2019,285.65,102252622,467.1,460.74,580.81
24/07/2024,259.6,69815369,382.32,220.06,521.86
03/08/2020,227.88,94196827,195.25,466.02,173.17
28/01/2020,106.59,75304515,581.72,434.92,227.9
14/01/2021,474.75,85478739,130.45,579.01,275.27
14/03/2019,438.3,56254307,101.21,415.64,521.51
01/05/2020,504.49,86216459,338.15,249.04,372.58
11/06/2020,258.27,60616620,541.94,226.11,283.41
07/05/2021,523.78,70732266,408.01,125.32,213.28
08/12/2020,537.24,81440866,196.29,191.43,204.19
08/04/2022,497.39,79552631,214.52,518.64,260.94
14/08/2024,540.45,64497073,109.14,515.54,558.33
20/10/2023,488.29,99054669,335.34,133.21,224.76
06/10/2019,439.73,104791932,335.16,430.11,197.29
17/04/2021,384.59,76940457,471.22,490.76,483.02
25/11/2021,578.55,56341108,190.46,569.95,552.62
01/07/2023,581.29,70484580,273.81,122.65,257.7
10/03/2023,387.44,90247258,276.3,550.64,237.1
13/08/2023,179.52,54531169,290.5,311.08,276.55
31/10/2021,107.16,84313703,505.03,551.0,545.16
31/07/2020,467.48,53737758,321.67,155.64,379.21
10/11/2020,416.57,54942808,236.05,250.42,233.6
05/12/2020,155.32,60862046,120.65,549.37,583.05
20/10/2019,539.68,93874807,472.63,189.71,365.52
31/08/2023,174.35,70423702,590.31,341.01,347.82
24/12/2023,263.19,56237502,469.69,572.59,270.4
24/02/2024,241.01,74922250,225.56,227.61,104.84
01/06/2021,222.39,79179395,355.02,511.25,502.21
05/12/2020,223.36,50195535,546.17,480.73,393.73
07/12/2020,330.48,87652755,125.56,273.01,101.14
27/07/2022,441.61,85372510,462.24,486.88,272.99
21/04/2020,582.05,54342056,366.73,416.41,501.32
02/01/2023,568.36,81710658,391.86,376.94,175.14
24/08/2019,242.74,55004222,197.61,400.59,393.99
16/08/2020,493.52,59462985,249.12,339.49,419.92
30/03/2019,546.81,77050888,421.9,256.18,176.46
13/07/2022,106.6,51645631,202.49,106.83,119.8
14/04/2022,582.02,103652584,331.94,353.76,370.68
12/03/2023,572.43,57823088,261.53,102.75,415.76
27/03/2020,404.64,79118467,106.07,548.75,309.18
17/07/2022,136.03,52262950,224.73,231.65,415.29
06/05/2019,584.61,71982454,242.94,222.55,147.11
13/10/2022,228.8,101442375,355.49,197.15,327.98
04/02/2020,562.21,52340611,142.16,533.59,399.99
29/12/2022,102.4,78249835,238.48,164.41,215.24
23/02/2019,158.2,105636975,336.43,402.57,555.25
09/08/2022,472.16,56033658,354.53,463.53,354.36
26/03/2024,439.69,88391522,112.07,469.96,556.83
15/01/2020,543.69,105003805,456.4,523.14,436.39
21/10/2020,293.66,83063177,582.86,383.01,385.67
13/09/2021,201.24,93902395,358.23,142.88,372.81
19/02/2021,115.55,61499356,427.52,319.63,242.92
13/04/2019,369.09,49878029,124.45,452.32,261.75
28/06/2024,595.1,88308650,444.05,189.11,294.85
30/03/2022,130.29,80084960,577.78,443.39,336.9
03/07/2019,580.75,104385791,528.23,242.74,392.22
31/08/2022,168.16,66328916,538.89,294.48,136.79
10/04/2020,507.35,75697425,223.35,273.69,137.81
30/10/2019,247.23,54150372,350.38,337.59,308.73
29/12/2022,123.68,74916370,582.94,489.16,410.22
11/10/2020,268.47,70069684,158.62,336.96,238.08
10/05/2019,430.91,49769954,590.41,397.46,270.19
25/09/2019,254.79,74475662,349.19,458.52,567.05
26/03/2020,442.18,55158488,573.91,577.67,207.36
27/02/2023,313.13,62129918,314.9,210.62,508.6
19/08/2020,477.66,74916130,497.92,537.09,205.19
19/08/2024,377.91,80348711,379.0,367.85,264.01
19/07/2021,536.45,73121644,594.2,300.45,142.6
17/02/2019,100.61,101223190,481.99,424.63,379.43
10/11/2023,558.77,53994507,110.45,391.05,325.58
09/01/2023,142.06,62732747,153.22,346.3,503.45
22/07/2019,162.56,53489392,508.14,130.47,507.62
22/10/2022,460.5,99318654,488.34,462.36,581.16
20/12/2023,336.3,73484539,159.95,310.3,350.63
09/09/2022,357.91,87205117,367.15,282.6,156.9
22/11/2023,267.13,90769422,510.61,364.25,354.96
05/04/2021,265.91,55470342,437.57,557.87,486.81
07/01/2021,150.55,103849076,416.13,416.09,230.43
16/05/2023,578.86,57002215,487.8,389.06,299.88
14/09/2020,479.63,80166878,196.6,562.11,512.24
10/03/2024,304.12,105251423,398.85,187.82,208.18
05/10/2022,307.14,84794925,436.65,176.26,511.04
12/04/2023,354.13,68171684,420.37,282.06,447.58
15/02/2022,368.7,81792765,399.29,517.53,519.45
01/12/2023,475.37,89244547,479.52,507.43,306.55
06/04/2019,123.3,51032260,415.73,469.21,424.01
14/01/2021,303.76,63091588,234.19,246.59,573.76
06/12/2019,579.13,102154616,552.01,196.4,557.1
24/03/2023,143.39,78153959,241.68,481.07,165.44
01/02/2022,459.31,105259120,170.93,444.58,228.35
08/01/2019,220.05,81719999,587.85,234.86,350.61
21/12/2021,483.26,92795118,104.21,360.83,249.49
24/04/2022,295.51,71555756,276.51,493.99,493.19
30/03/2023,475.88,77508054,456.32,271.52,124.14
07/01/2019,276.48,102892815,253.88,146.2,100.34
08/10/2019,275.54,72035577,316.82,280.91,361.84
14/12/2022,237.58,49993829,523.36,562.94,563.41
22/01/2019,501.56,96547202,178.02,272.75,144.82
12/02/2021,182.51,88143278,357.81,371.25,535.68
03/01/2019,504.35,51421915,129.44,393.77,152.95
27/10/2022,173.46,87212981,169.17,441.88,294.29
15/03/2021,291.46,90606403,239.8,144.82,513.15
05/01/2021,506.44,54725057,536.76,226.45,457.29
05/02/2022,508.79,83776873,505.03,282.87,306.08
13/02/2022,385.65,71795411,134.46,445.45,340.55
27/04/2021,166.8,56468552,501.83,182.91,168.93
07/08/2021,145.07,104927884,383.81,250.47,594.26
17/01/2020,572.34,102870764,223.18,248.89,446.23
10/01/2019,111.26,62188158,249.68,532.26,598.74
24/09/2022,267.4,69172997,105.47,242.14,420.78
22/05/2020,385.1,92332038,348.05,405.48,187.47
19/01/2024,346.22,92155467,418.75,104.89,320.96
25/03/2021,352.59,77517784,534.36,576.62,485.16
06/11/2023,505.79,91591886,309.6,326.4,272.16
08/03/2020,249.86,67577339,100.92,508.99,556.07
23/09/2020,458.13,90557876,387.42,262.59,161.81
03/04/2021,238.75,87290545,542.59,501.81,181.22
29/06/2021,513.01,97193958,145.76,305.61,109.43
10/08/2020,222.86,51671168,536.93,285.77,165.16
12/09/2020,556.59,102820672,508.11,252.18,271.0
09/01/2024,246.22,78489015,211.51,411.04,430.87
03/12/2019,113.75,93482020,509.97,571.91,557.96
08/05/2023,488.06,60527819,223.24,271.84,338.93
07/01/2022,136.52,99343746,362.77,350.49,131.67
30/11/2021,429.34,94772090,254.29,430.11,547.85
26/05/2022,596.01,86808735,305.86,414.56,104.14
23/04/2021,254.1,91841316,306.46,327.18,477.93
14/08/2024,293.32,86576808,220.07,420.53,368.88
07/04/2024,364.08,64647274,546.05,339.67,408.05
10/02/2021,361.72,98757963,229.2,396.05,370.41
15/09/2023,390.75,73170106,420.0,200.41,471.16
13/09/2020,170.65,73499746,410.56,312.52,591.98
20/05/2019,352.99,86944613,328.77,304.21,395.13
08/06/2023,242.53,70097802,199.89,312.97,430.41
04/01/2019,165.3,81498522,465.55,537.91,170.38
25/08/2023,465.26,96283326,240.43,153.06,370.4
20/10/2023,407.81,69075490,193.78,122.55,497.29
25/02/2021,413.85,81507240,399.41,360.71,394.7
27/05/2021,432.76,90317537,568.06,572.82,415.76
23/04/2019,438.15,77068315,360.24,401.55,581.45
27/10/2023,109.45,60003560,491.11,375.43,242.37
02/05/2023,553.82,80844329,349.11,157.6,596.87
11/06/2024,412.41,93305431,414.27,236.42,324.14
25/03/2019,591.44,99447631,552.91,452.04,350.64
18/11/2023,424.1,58503882,283.11,227.51,545.21
11/06/2022,581.3,52554539,226.02,375.79,415.99
24/07/2023,122.45,66712926,533.36,454.05,443.84
08/04/2023,446.1,91367887,192.63,402.74,393.8
10/03/2021,109.82,92355061,239.15,113.24,252.12
30/06/2021,166.84,52404986,423.03,242.33,260.78
29/10/2022,122.91,81160397,386.23,397.02,530.5
24/05/2020,566.79,88592987,345.79,449.17,261.9
10/04/2023,381.73,52337703,438.76,222.05,187.96
24/07/2020,294.19,71992105,191.18,254.19,228.92
08/04/2022,253.3,70143200,147.48,530.83,238.14
11/11/2021,544.73,94742668,448.04,106.27,371.25
18/08/2024,476.88,100274024,250.06,173.99,154.94
16/12/2022,125.49,67997529,395.79,580.18,400.85
01/06/2019,265.89,55874722,132.02,540.65,384.18
29/10/2020,106.63,95952633,146.52,247.24,349.78
30/12/2020,508.92,58934994,533.89,523.68,109.97
17/02/2022,317.56,77781739,156.44,102.52,456.5
29/12/2019,538.7,70199453,439.32,260.03,299.47
21/04/2021,334.05,93221806,266.21,351.08,473.41
31/08/2023,363.18,52259862,277.3,425.5,397.64
22/07/2024,339.13,104096852,344.81,544.66,119.66
09/12/2020,228.42,94080467,414.15,395.14,599.31
13/05/2020,551.01,76468098,407.62,579.6,561.51
05/12/2019,498.13,80068213,221.52,532.18,168.36
14/07/2023,112.66,102553689,209.27,216.64,296.55
06/11/2023,192.36,58599536,527.74,313.91,241.49
22/09/2019,404.51,96635918,289.5,500.99,359.28
11/06/2019,361.39,56348382,419.08,444.92,245.8
10/07/2019,360.63,105110843,575.02,258.86,185.47
06/01/2019,440.11,59869462,489.62,463.72,137.14
13/03/2020,425.31,64863729,546.78,565.21,577.26
01/07/2022,479.88,62146295,483.09,178.72,403.54
22/02/2019,218.93,80621894,401.57,258.8,133.15
13/10/2019,503.37,63950686,251.34,163.43,337.14
23/09/2020,541.76,73639565,473.81,466.88,340.38
08/08/2020,455.29,61135901,307.16,484.46,234.19
13/07/2021,261.52,92378521,174.07,342.42,181.1
11/07/2019,363.3,65794891,195.99,566.06,516.13
01/11/2021,220.21,85536316,208.01,416.93,229.25
01/04/2020,398.46,55560949,514.86,430.62,195.86
28/04/2022,380.37,52533970,570.06,356.07,487.72
08/01/2022,324.75,76115088,500.15,465.17,334.38
07/02/2024,536.97,65491094,130.46,164.96,476.17
20/04/2020,265.73,101524748,488.31,405.3,428.77
18/12/2021,161.07,57841481,306.47,556.86,328.51
04/02/2021,472.23,81237470,446.98,562.52,251.89
19/12/2021,267.36,96629217,449.42,564.82,254.63
06/08/2024,334.31,67320390,126.85,160.46,405.45
25/03/2019,458.16,65411966,219.29,219.1,171.19
26/06/2021,410.03,61562464,403.91,473.62,305.19
15/05/2020,227.67,52406545,108.24,571.49,559.18
15/09/2021,130.76,85387969,181.96,395.55,327.22
16/03/2024,343.73,57755220,562.32,339.92,478.72
09/01/2024,594.33,63405311,417.17,107.91,173.2
20/08/2024,305.75,89652512,286.97,176.47,430.03
09/07/2019,396.55,65059967,521.72,217.55,298.25
30/05/2020,109.09,82946218,593.02,258.64,313.64
19/01/2019,323.95,78701685,506.33,116.36,264.95
11/08/2024,372.13,57773362,365.57,581.14,312.0
10/01/2020,508.04,59912231,141.62,582.28,102.71
29/05/2020,319.68,81467191,517.64,133.58,278.75
04/05/2022,494.44,62906629,130.6,138.54,113.5
12/03/2019,149.63,71728025,397.74,173.54,261.79
21/05/2023,530.95,58389596,249.32,398.06,212.16
20/07/2020,497.73,106680860,455.64,147.68,500.55
18/08/2019,334.31,91269258,105.05,329.37,394.98
21/10/2020,484.71,103161261,308.03,529.13,133.38
14/02/2020,340.71,80208706,210.52,535.32,174.18
02/05/2019,456.07,77654356,269.5,460.23,400.67
15/01/2021,138.28,86766563,293.02,464.49,372.79
28/09/2022,370.0,99315109,195.4,198.84,517.25
24/02/2019,351.17,101891980,320.63,591.33,292.9
01/08/2020,184.82,92945143,551.93,546.39,322.83
21/12/2023,171.54,57169109,401.87,138.06,278.88
30/12/2020,583.69,106601344,195.18,360.0,275.82
07/12/2023,530.05,96910471,389.27,330.3,373.62
26/10/2022,303.91,103742158,599.9,328.46,491.24
10/04/2022,394.49,89227628,110.21,410.29,167.2
28/04/2020,352.81,54781993,320.97,288.49,562.47
08/04/2024,504.27,87429949,379.28,380.26,138.67
05/10/2022,331.19,93356798,265.37,175.6,503.17
22/03/2021,178.26,90454755,499.22,359.85,493.05
11/03/2024,374.28,89145863,348.81,391.13,121.88
25/07/2023,364.64,71077065,265.22,501.62,523.49
23/02/2019,245.66,91127282,547.45,359.24,517.2
01/10/2021,329.66,102517197,460.72,203.99,353.64
19/12/2023,468.57,61733480,265.14,178.86,467.39
22/04/2019,169.47,63074996,102.64,300.91,482.32
18/09/2022,119.86,52421984,116.91,462.83,511.64
02/10/2019,244.54,72685692,498.8,144.36,112.57
17/09/2021,485.43,85996543,197.33,110.89,122.89
15/02/2019,511.46,79854214,264.53,350.86,359.93
11/02/2019,122.74,81392693,483.31,280.04,334.7
27/01/2024,567.07,52677737,541.63,288.78,165.53
26/02/2023,244.09,54957172,506.5,370.47,489.91
14/01/2019,258.8,54219094,286.83,259.4,411.45
09/11/2019,285.5,79143776,217.63,574.59,259.15
07/08/2023,448.93,62633756,192.44,309.0,363.02
04/08/2023,503.3,103244063,287.26,281.79,184.0
26/06/2020,235.82,63692729,598.26,216.15,584.62
24/02/2020,452.04,74884625,174.66,514.75,394.16
10/10/2021,462.14,97349116,199.44,187.64,347.22
14/02/2020,280.47,101975994,267.05,450.84,453.02
28/01/2021,513.32,85120305,442.6,321.91,520.7
31/12/2019,145.23,51110918,474.56,295.33,534.36
14/11/2019,144.51,60784782,234.63,279.3,116.7
17/10/2020,406.36,95364806,480.29,166.87,574.95
19/09/2020,381.37,59440268,481.21,504.7,136.09
24/10/2022,374.92,96544477,270.29,111.53,151.64
06/10/2022,142.53,74463604,166.11,382.56,328.83
15/07/2020,135.17,85954862,352.38,155.85,509.24
02/10/2019,119.04,83711518,320.54,247.86,110.8
05/06/2022,541.26,96135670,165.39,111.0,337.24
06/02/2021,469.14,64770196,218.4,304.32,321.05
30/05/2022,441.87,96933764,441.35,481.98,359.24
05/10/2019,378.31,55509042,415.39,197.55,305.1
23/08/2021,105.33,69656943,354.45,353.15,399.54
11/05/2022,505.84,89191936,298.5,380.32,305.06
12/11/2020,479.39,77290888,194.88,329.52,143.95
04/01/2023,295.04,73086792,133.05,205.93,355.09
23/09/2020,519.5,102771628,133.52,538.78,438.85
11/10/2022,179.01,52303924,459.29,535.59,319.84
11/10/2023,216.84,98340248,482.27,514.04,326.06
01/04/2021,117.12,79813352,549.44,464.19,314.13
14/10/2022,293.68,97148644,407.59,149.16,272.41
06/04/2019,457.31,93718251,411.32,103.92,353.47
11/02/2024,301.37,61618565,392.5,119.69,127.54
01/08/2020,584.46,63947971,263.71,162.56,438.95
01/03/2023,308.74,100689225,119.01,576.56,262.33
05/01/2020,591.8,70442188,182.74,433.25,238.06
11/03/2022,299.99,54144077,313.68,376.05,366.71
02/03/2019,299.36,64276212,346.65,124.01,532.97
12/01/2022,471.26,93510070,145.11,213.72,573.05
29/02/2020,557.21,50631223,135.59,380.2,475.0
05/10/2021,431.51,60350643,145.18,351.52,101.79
15/02/2021,321.47,89472578,398.47,129.81,423.21
04/07/2020,443.22,98214884,224.61,350.21,112.09
23/01/2022,356.74,82962616,213.09,294.78,286.67
06/04/2022,194.11,61488969,359.58,553.44,573.82
14/02/2022,419.35,98860327,485.52,453.76,359.83
13/06/2019,287.88,101987439,222.38,541.09,324.72
12/05/2024,266.64,96464056,586.13,415.94,208.46
16/07/2024,573.51,72393488,418.19,503.32,366.93
28/06/2022,575.36,79828285,356.7,271.83,538.29
24/04/2021,555.98,91911656,114.36,262.52,315.0
12/08/2021,362.62,61286932,385.88,341.91,520.59
25/11/2022,540.37,84494305,139.33,576.62,304.05
13/01/2021,334.3,88015731,278.57,524.54,295.15
22/03/2020,190.11,73163426,285.52,342.22,179.12
14/08/2020,224.02,102706198,281.06,543.6,330.19
26/08/2023,374.15,54760627,284.8,363.48,264.18
30/07/2021,212.55,106241987,365.64,256.72,313.78
06/05/2024,352.82,56331034,411.67,219.83,296.34
12/10/2020,319.47,52080578,156.87,369.44,197.9
22/03/2024,201.48,103156040,344.01,100.54,400.75
11/09/2021,281.04,65806884,196.42,193.71,181.74
25/08/2019,496.26,79853606,436.1,553.72,276.15
26/08/2019,175.65,71952130,554.1,581.81,470.85
19/03/2019,480.5,56603662,590.71,584.54,512.84
16/09/2022,559.03,74609163,465.37,299.83,285.8
05/08/2022,425.5,59675231,406.1,572.91,184.07
08/08/2020,492.16,80679810,525.45,152.1,332.71
06/01/2020,225.89,57174447,476.61,538.43,246.24
13/11/2023,543.87,95823136,428.87,323.25,207.22
12/01/2020,567.85,60404354,500.92,369.3,412.88
09/03/2020,285.31,95600657,577.41,233.28,298.31
28/08/2021,337.73,87526815,252.14,552.65,305.63
22/01/2021,209.04,65753555,410.65,406.31,147.05
03/05/2023,157.32,74179340,566.63,200.29,277.54
28/04/2021,206.84,59360990,348.15,275.59,542.1
30/04/2023,197.29,74132297,304.0,340.67,314.7
18/11/2022,282.33,74429539,112.09,371.8,288.95
25/07/2024,404.78,77316349,339.23,339.95,254.76
16/10/2020,539.87,66686622,241.46,205.0,588.38
20/09/2019,507.52,57733006,564.84,522.56,124.89
11/01/2019,185.75,59604310,167.12,126.22,282.06
16/06/2019,101.35,98104118,135.67,307.53,104.38
21/01/2023,569.78,104374623,596.46,501.8,450.69
18/05/2020,383.14,88526466,130.11,575.77,305.5
13/08/2022,435.57,70455897,483.8,485.3,281.34
21/05/2020,262.92,65680005,204.38,554.55,113.04
23/12/2021,474.42,86851947,432.59,202.33,576.97
29/01/2022,125.34,50005171,554.23,301.76,136.66
17/12/2022,438.79,86053738,237.49,462.66,146.18
12/05/2023,141.08,95568268,275.82,110.75,210.96
21/02/2021,321.94,52562031,523.11,531.11,231.91
28/06/2024,388.27,65720939,403.28,563.98,111.55
03/08/2022,196.22,54410641,331.47,575.72,446.75
21/08/2021,231.74,85711615,458.8,361.9,300.62
03/07/2021,361.18,106564818,226.35,386.96,246.59
14/04/2021,405.37,105811657,523.51,185.33,321.18
05/05/2022,272.02,88693237,549.62,276.18,428.32
14/08/2024,246.32,103122957,338.69,510.28,418.68
15/08/2020,263.24,88600051,557.71,315.93,249.7
20/04/2022,378.82,99788338,142.12,536.78,455.49
03/07/2020,212.67,56257351,421.04,410.83,355.1
14/03/2023,431.2,90298533,264.98,553.44,106.45
22/09/2022,277.7,86312754,595.99,157.72,311.77
02/08/2022,452.5,95298375,371.71,147.82,407.29
26/06/2023,428.97,84212675,546.42,535.45,491.37
05/07/2023,431.85,68730262,510.72,577.0,264.92
26/07/2020,374.18,90962052,396.02,349.46,410.07
30/09/2019,542.11,62690577,429.43,482.85,553.6
14/04/2022,272.59,104873251,269.93,173.23,178.19
11/01/2020,376.6,82656125,326.14,322.29,568.34
12/04/2021,356.27,82901806,402.71,595.47,412.73
25/03/2024,532.64,74402731,241.73,245.12,358.84
30/05/2020,202.56,95218196,505.77,103.59,296.04
16/01/2024,353.32,71518730,279.38,208.42,140.12
11/09/2021,497.42,68934556,118.89,296.14,174.49
08/04/2022,126.78,60699957,519.47,116.39,240.06
08/02/2020,277.19,60508455,267.74,347.94,148.05
28/11/2022,165.26,100112896,257.01,242.53,471.95
04/12/2019,411.22,79329585,308.93,498.05,542.52
23/07/2020,408.25,72236220,296.34,158.84,239.91
13/11/2022,455.18,89161462,104.83,281.28,562.64
15/01/2022,261.49,79847420,364.98,218.39,576.05
03/11/2019,337.76,88320104,254.83,112.0,495.68
14/08/2021,333.27,97593459,230.46,391.15,409.09
30/10/2020,165.8,94049896,567.82,345.21,529.34
13/05/2019,466.09,104606261,299.73,238.8,123.32
04/03/2021,238.89,91545935,308.54,214.18,336.96
09/01/2022,410.99,103106135,531.52,387.47,375.43
16/05/2024,119.38,104248995,285.58,104.23,595.53
02/07/2020,486.29,81450046,432.63,185.49,515.9
12/07/2023,330.28,98857978,597.6,367.32,511.38
29/09/2023,462.06,64286239,488.01,377.21,360.79
11/07/2019,213.53,88843113,194.13,334.56,587.85
30/04/2022,387.02,56267836,420.37,496.11,427.47
19/12/2023,217.56,101446325,264.45,590.87,421.53
14/03/2020,520.66,70876310,161.0,447.81,557.57
16/06/2024,397.93,66116902,442.84,357.61,589.55
20/06/2024,164.75,79760835,284.45,135.2,283.05
03/01/2023,453.08,56329826,168.13,535.81,442.75
21/02/2024,241.88,56408316,203.8,195.12,476.22
26/06/2023,255.19,94396733,487.4,539.88,336.7
01/12/2022,362.73,77472481,562.36,120.76,358.68
28/01/2023,261.08,62288467,198.72,518.32,358.32
17/10/2022,227.37,62844476,182.69,351.48,589.15
08/01/2019,204.98,64406450,393.05,107.55,337.37
19/03/2019,562.6,82502534,254.29,434.8,391.39
24/03/2019,196.07,52844215,473.12,114.22,562.37
23/04/2022,235.38,87005834,130.95,563.85,332.35
30/05/2020,517.56,87748629,241.48,442.54,304.19
05/09/2019,288.58,70853581,557.62,448.73,273.53
02/08/2023,469.05,63184115,546.48,298.77,374.38
31/03/2020,554.94,52434387,143.58,526.67,166.12
08/04/2020,403.69,92720713,102.39,538.17,267.72
04/05/2020,301.79,55756372,124.83,234.25,145.64
24/02/2021,496.23,57738749,535.31,324.03,262.29
04/12/2019,194.49,102935455,424.72,446.13,322.74
31/08/2022,534.04,65617580,206.62,474.35,515.78
12/06/2022,521.62,85093711,125.5,448.3,137.35
19/10/2021,548.73,60786963,446.57,429.38,142.96
29/09/2023,422.76,71359510,306.79,545.47,123.11
25/04/2021,181.02,56213091,113.59,403.24,568.7
14/03/2023,452.61,65267540,352.45,560.84,559.98
01/07/2023,209.75,79688053,175.97,122.23,479.06
21/07/2022,497.61,72296095,293.97,338.05,590.53
23/08/2019,435.56,68304648,316.86,224.35,374.86
